"bitermId", "word1", "word2", "tf","sim"
175,"马航","迫降",61,0.376223,
176,"打车","开车",83,0.407317,
177,"失联","北京",49,0.0404556,
178,"国家","出厂",39,0.0182573,
179,"继续","退休",37,0.225124,
180,"中国","时代",34,0.277966,
181,"马来西亚","昆明",298,0.290678,
182,"吃","下",66,0.082101,
183,"中国","山东",49,0.348868,
184,"时间","受伤",31,0.0516517,
185,"卫星","天气",36,0.252356,
186,"手机","出租车",73,0.307844,
187,"兰州","广场",53,0.0555176,
188,"搜寻","黑匣子",228,0.192373,
189,"巴萨","冠军",50,0.164663,
190,"兰州","进行",123,0.0444292,
191,"航","顶",38,0.0368263,
192,"系统","难",31,0.0963716,
193,"污染","自流",87,0.202254,
194,"调查","印度洋",47,0.139583,
195,"中国","文章",94,0.247611,
196,"吃","买",94,0.565753,
197,"兰州","段",35,0.166691,
198,"微软","再见",106,0.0560307,
199,"马航","一直",39,0.0403664,
200,"拜仁","竞技",36,0.258552,
201,"搜寻","进行",56,0.0976493,
202,"设备","产品",31,0.525458,
203,"吃","早上",50,0.243415,
204,"quot","木马",144,0.0744965,
205,"水下","自主",53,0.125159,
206,"海巡","脉冲",39,0.00206125,
207,"马航","降落",32,0.359001,
208,"飞机","失联",350,0.308798,
209,"欧冠","联赛",360,0.576896,
210,"亿元","用户数",32,0.376234,
211,"决赛","半决赛",62,0.766948,
212,"器","蓝鳍",46,0.00813006,
213,"安全","返航",33,0.20667,
214,"苯","严重",85,0.0943375,
215,"比赛","结束",77,0.18635,
216,"调查","机上",64,0.162966,
217,"微软","xp",98,0.619328,
218,"元","上车",38,0.0844894,
219,"曼联","球场",47,0.439487,
220,"最后","做到",39,0.0465613,
221,"水","饮用",34,0.379952,
222,"马","似乎",79,0.0897133,
223,"皇马","加油",42,0.0690855,
224,"发现","协调",38,0.0613784,
225,"含量","微克",265,0.661218,
226,"回","呦",144,0.0391251,
227,"打车","突破",39,0.0399277,
228,"打车","增长",105,0.109581,
229,"中国","一下",64,0.00618103,
